index,NORMALIZED PEDESTRIAN POSITION X,NORMALIZED PEDESTRIAN POSITION Y,NORMALIZED PEDESTRIAN DIRECTION,NORMALIZED PEDESTRIAN SPEED,NORMALIZED CAR SPEED,TTC
25349,4.932668610964259,0.0,90.0,4.0,6.0,0.4166666666666667
25346,3.075079422165017,0.0,90.0,4.0,6.0,0.3333333333333333
25347,3.5779087310265467,0.0,90.0,4.0,6.0,0.375
745,4.43200198286753,-0.5,93.14,0.0,2.0,0.4
740,3.582183143371126,-0.35445421415721845,93.14,0.0,2.0,0.4166666666666667
746,4.83912502227531,-0.5,93.14,0.0,2.0,0.4166666666666667
743,3.202098306935866,-0.5,93.14,0.0,2.0,0.3333333333333333
741,3.326335482858609,-0.41841612928534777,93.14,0.0,2.0,0.4166666666666667
738,4.344281620744412,-0.16392959481389696,93.14,0.0,2.0,0.4166666666666667
743,3.1048683596530755,-0.5,93.14,0.0,2.0,0.3333333333333333
744,3.8496161170353194,-0.5,93.14,0.0,2.0,0.4
743,3.323803627241495,-0.5,93.14,0.0,2.0,0.3333333333333333
736,4.884552811116403,-0.02886179722089932,93.14,0.0,2.0,0.4166666666666667
26095,3.97499164082436,-1.0,93.14,4.0,6.0,0.37623762376237624
26095,3.5609618697422447,-1.0,93.14,4.0,6.0,0.37623762376237624
26091,3.6118435195676817,-0.8470391201080796,93.14,4.0,6.0,0.4166666666666667
26095,3.546543256258312,-1.0,93.14,4.0,6.0,0.40157480314960625
26094,3.3470838909146456,-1.0,93.14,4.0,6.0,0.3333333333333333
26095,3.733893704339347,-1.0,93.14,4.0,6.0,0.40157480314960625
26096,4.097963221638346,-1.0,93.14,4.0,6.0,0.40157480314960625
26094,3.410503946162749,-1.0,93.14,4.0,6.0,0.3333333333333333
26096,4.012622529753353,-1.0,93.14,4.0,6.0,0.40157480314960625
26094,3.2358532680094205,-1.0,93.14,4.0,6.0,0.37623762376237624
38152,4.5,-0.38089630641632155,91.57,4.0,12.0,0.375
38164,4.582570125584567,-0.9174298744154331,91.57,4.0,12.0,0.2767857142857143
38166,4.583322827461408,-1.0,91.57,4.0,12.0,0.2767857142857143
38166,4.9358499576569805,-1.0,91.57,4.0,12.0,0.2767857142857143
38148,4.924887837964441,-0.1502243240711172,91.57,4.0,12.0,0.2767857142857143
38158,4.5,-0.6415750484745997,91.57,4.0,12.0,0.375
